Metric,Value
MAE,2702.515146169355
MSE,11902914.98679977
RMSE,3450.0601424902393
MAPE,4.3211041856163686
R2,0.6475553800468171
MASE,1.9793389346863153
sMAPE,4.3964999581651885
RMSLE,0.057699630208876536
